tweet_id,raw_text,expected_event_type,expected_event_date,expected_location_raw,expected_location_type,expected_state,expected_district,expected_assembly_constituency,expected_block,expected_gp_or_ward,expected_ulb_name,expected_people_handles,expected_people_names,expected_schemes,expected_hashtags,expected_target_groups,expected_communities,expected_organizations,expected_security_type,expected_sentiment_political,notes
1991163135504654795,"महामहिम राष्ट्रपति श्रीमती द्रौपदी मुर्मू जनजातीय गौरव दिवस 2025 के उपलक्ष्य में सरगुजा जिले के अंबिकापुर में आयोजित कार्यक्रम में शामिल होंगी। कार्यक्रम से पूर्व आज केंद्रीय राज्य जनजातीय कार्य मंत्री श्री दुर्गा दास उइके जी के साथ कार्यक्रम स्थल की अंतिम तैयारियों का निरीक्षण किया और शिल्पग्राम का भी अवलोकन किया। इस दौरान आस पास से आए जनजातीय शिल्पकारों एवं कलाकारों से भी मुलाकात की। तथा शिल्प ग्राम में जनजातीय शिल्प कला, परंपरागत जड़ी-बूटियों से इलाज, हथकरघा से बनी साड़ी और कपड़े सहित बांसकला से बनी कलात्मक वस्तुओं का अवलोकन किया।  इस अवसर पर माननीय मंत्री श्री रामविचार नेताम जी, माननीय मंत्री श्री केदार कश्यप जी सहित अन्य उपस्थित रहे। @rashtrapatibhvn @DdUikey @KedarKashyapBJP @ramvicharnetam  #BirsaMunda150",बैठक,2025-11-19,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],"[""केदार कश्यप"", ""दुर्गा दास उइके"", ""द्रौपदी मुर्मू जनजातीय"", ""रामविचार नेताम""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1991153205468918127,"भगवान बिरसा मुंडा की 150वीं जयंती के उपलक्ष्य में आयोजित जनजातीय गौरव दिवस कार्यक्रम के लिए महामहिम राष्ट्रपति श्रीमती द्रौपदी मुर्मू जी के अंबिकापुर आगमन से पूर्व, केंद्रीय जनजातीय कार्य राज्यमंत्री माननीय श्री दुर्गादास उइके जी के साथ कार्यक्रम स्थल की तैयारियों का जायजा लिया। इस अवसर पर माननीय मंत्री श्री रामविचार नेताम जी, माननीय मंत्री श्री केदार कश्यप जी सहित अन्य उपस्थित रहे।  @rashtrapatibhvn @DdUikey @ramvicharnetam @KedarKashyapBJP   #bhagwanbirsamunda150",धार्मिक / सांस्कृतिक कार्यक्रम,2025-11-19,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],"[""केदार कश्यप"", ""दुर्गादास उइके"", ""द्रौपदी मुर्मू"", ""रामविचार नेताम""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1991103045321826387,व्यापार की तरक्की ही राज्य की शक्ति...,अन्य,2025-11-19,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.6)
1991090533616525643,"देश की आजादी के लिए, आदिवासी समुदाय के अधिकारों के लिए, भगवान बिरसा मुंडा जी ने जो योगदान दिया, वह अतुलनीय है। - आदरणीय प्रधानमंत्री श्री नरेंद्र मोदी जी  @narendramodi  #bhagwanbirsamunda150",अन्य,2025-11-18,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],"[""नरेंद्र मोदी""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.6)
1991072660504166542,सुशासन सरकार का जनहितकारी फैसला... माननीय मुख्यमंत्री श्री विष्णु देव साय जी द्वारा 200 यूनिट तक बिजली बिल आधा किए जाने से आम जनता को बड़ी राहत मिली है। प्रदेश की ऊर्जा आत्मनिर्भरता की दिशा में यह एक सशक्त पहल है。 @vishnudsai,अन्य,2025-11-18,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],"[""विष्णु देव साय""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.6)
1991067653494976603,"छत्तीसगढ़ राज्य के गौरवशाली 25 वर्षों की रजत जयंती पर, प्रदेश सरकार जनकल्याण और विकास के नए संकल्प के साथ आगे बढ़ रही है। छत्तीसगढ़ गृह निर्माण मंडल द्वारा हर वर्ग के लिए सुलभ, सुरक्षित और किफायती आवास उपलब्ध कराने की दिशा में ऐतिहासिक पहल की जा रही है।",धार्मिक / सांस्कृतिक कार्यक्रम,2025-11-18,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.85)
1991058854046793836,"भाजपा की दूरदर्शी नीतियों ने प्रदेश के अन्नदाताओं के जीवन में समृद्धि के नए आयाम स्थापित किए हैं। 'कृषक उन्नति योजना' के माध्यम से आयोजित धान खरीदी तिहार किसानों की मेहनत और आशा का उत्सव है। हमारे अन्नदाता समृद्ध हों, यही हमारी सरकार की प्राथमिकता है।  #कृषक_उन्नति_योजना",योजना घोषणा,2025-11-18,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.85)
1991047432881516620,"बुंदेले हरबोलों के मुंह हमने सुनी कहानी थी,  खूब लड़ी मर्दानी, वह तो झांसी वाली रानी थी।  भारतीय स्वतंत्रता संग्राम की महान वीरांगना तथा नारी शक्ति की प्रतीक रानी लक्ष्मीबाई जी की जयंती पर कोटि कोटि नमन। मातृभूमि की रक्षा हेतु अपने प्राणों की आहुति देने वाली महान वीरांगना रानी लक्ष्मीबाई जी का जीवन युगों-युगों तक सम्पूर्ण देशवासियों को साहस और राष्ट्रभक्ति का अमूल्य संदेश देता रहेगा। #RaniLakshm",धार्मिक / सांस्कृतिक कार्यक्रम,2025-11-18,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.85)
1890405869168234731,"दाई-दीदी अऊ संगवारी मन के मया-दुलार, मोर ताकत",अन्य,2025-11-13,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.6)
1890378865639407799,जब अमेरिका के राष्ट्रपति डोनाल्ड ट्रंप ने आदरणीय प्रधानमंत्री श्री नरेंद्र मोदी जी से कहा -,अन्य,2025-11-13,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],"[""डोनाल्ड ट्रंप ने"", ""नरेंद्र मोदी""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.6)
1890431461016080876,भारत वर्ष 2036 में ओलंपिक की मेजबानी के लिए तैयार है।,खेल / गौरव,2025-11-13,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.85)
1890582740170391875,आज के कार्यक्रम। https://t.co/zSK61exVRe,अन्य,2025-11-13,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.6)
1890589912568561852,"छत्तीसगढ़ की जनता-जनार्दन भाजपा के साथ है, लेकिन...",राजनीतिक वक्तव्य,2025-11-13,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.85)
1890645345245266055,लैलूंगा नगर पंचायत में भाजपा अध्यक्ष प्रत्याशी श्री कपिल सिंघानिया जी को 2484 वोटों से शानदार जीत पर हार्दिक बधाई एवं शुभकामनायें। https://t.co/4nuA28NXZo,शुभकामना / बधाई,2025-11-13,लैलूंगा,urban,Chhattisgarh,रायगढ़,,,,,[],"[""कपिल सिंघानिया"", ""प्रत्याशी""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1890626286361448937,खरसिया नगर पालिका में अध्यक्ष पद पर 2500 से अधिक के अंतर से भाजपा की शानदार जीत। 18 में से 15 भाजपा पार्षद भी जीते।,राजनीतिक वक्तव्य,2025-11-13,खरसिया,urban,Chhattisgarh,रायगढ़,,,,,[],"[""पद पर""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1890629745915646432,रायगढ़ के पुसौर नगर पंचायत में भाजपा की अध्यक्ष प्रत्याशी मानी मोहित सतपथी जी एवं सभी 10 विजयी पार्षदों को बधाई।,शुभकामना / बधाई,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],"[""प्रत्याशी मानी मोहित""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1890641564755460096,"राष्ट्रीय स्वयंसेवक संघ के वरिष्ठ स्वयंसेवक, पूर्व राज्यसभा सदस्य स्व. श्रीगोपाल व्यास जी की जयंती पर सादर नमन। उनके योगदान और विचारों ने समाज में एक नई दिशा दी व उनका जीवन हम सभी के लिए प्रेरणा का स्रोत है। https://t.co/4YO2uxYmva",धार्मिक / सांस्कृतिक कार्यक्रम,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.85)
1890649138326388767,रायगढ़ और पूरे छत्तीसगढ़ की जनता जनार्दन ने विकास को आशीर्वाद दिया है। आपका यह समर्थन हमें और अधिक सेवा व समर्पण की शक्ति देता है। हम रायगढ़ और प्रदेश में विकास को नई ऊंचाइयों तक ले जाने के लिए प्रतिबद्ध हैं।,अन्य,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.7)
1890656118671618388,"नगर-नगर भाजपा, शहर-शहर भाजपा",राजनीतिक वक्तव्य,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.85)
1890658841445949541,"जनता का विश्वास, विकास का संकल्प,भाजपा की पहचान",राजनीतिक वक्तव्य,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.85)
1890697226474631322,"रायगढ़ नगर निगम महापौर चुनाव में हम सभी के गौरव, चाय वाले भाई जीवर्धन चौहान जी को 61% वोट शेयर के साथ जनता ने अपार समर्थन दिया, जबकि कांग्रेस को मात्र 23% वोट मिले। भाजपा के समस्त विजयी पार्षदों को भी हार्दिक बधाई एवं शुभकामनायें।",चुनाव प्रचार,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1890668447987576951,रायगढ़ की जनता जनार्दन का आशीर्वाद मिलने का पूर्ण विश्वास था। बीते 1 वर्ष में लोगों ने विकास की राजनीति को देखा है। चाय ठेला चलाकर ईमानदारी से जीवन यापन करने वाले श्री जीवर्धन चौहान जी व भाजपा पार्षदों को जो आशीर्वाद मिला है। हम आगे भी लोगों की आशाओं के अनुरूप कार्य करते रहेंगे। https://t.co/Jvusnjeog4,राजनीतिक वक्तव्य,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],"[""जीवर्धन चौहान""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1890674297984692633,एक साल में सुशासन व विकास को पूरे प्रदेश में जनता का आशीर्वाद मिला है। नगरीय निकायों के चुनाव में बस्तर से लेकर सरगुजा तक कमल खिला है।,चुनाव प्रचार,2025-11-13,सरगुजा,district,Chhattisgarh,सरगुजा,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1890683848494559625,61% वोट शेयर के साथ चाय वाले जीवर्धन चौहान की शानदार जीत ….,अन्य,2025-11-13,सरगुजा,district,Chhattisgarh,सरगुजा,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.6)
1890690777480610216,61% वोट शेयर के साथ चाय वाले जीवर्धन चौहान की शानदार जीत ….,अन्य,2025-11-13,सरगुजा,district,Chhattisgarh,सरगुजा,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.6)
1890662244972720535,प्रयागराज महाकुंभ में स्नान के लिए जा रहे कोरबा के श्रद्धालुओं की गाड़ी प्रयागराज-मिर्जापुर हाईवे पर दुर्घटनाग्रस्त होने से 10 श्रद्धालुओं के निधन की खबर अत्यंत दुःखद है।,आपदा / दुर्घटना,2025-11-13,प्रयागराज,urban,Chhattisgarh,प्रयागराज,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1890717291328799106,"राजनीति में 29 साल से सक्रिय रहते हुए भी चाय ठेला चलाकर आत्मनिर्भर जीवन जीने वाले जीवर्धन जी को जनता ने 61% वोट शेयर के साथ जो आशीर्वाद दिया है, यह हम सभी के लिए गौरव का क्षण है।",अन्य,2025-11-13,प्रयागराज,urban,Chhattisgarh,प्रयागराज,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.6)
1890710779843813421,छत्तीसगढ़ के सभी 10 नगर निगमों में भाजपा के महापौर प्रत्याशियों की ऐतिहासिक जीत पर हार्दिक बधाई।,शुभकामना / बधाई,2025-11-13,प्रयागराज,urban,Chhattisgarh,प्रयागराज,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.85)
1890723217054048339,आज सारंगढ़-बिलाईगढ़ जिला पंचायत क्षेत्र क्रमांक 1 के लुकापारा में आयोजित कार्यकर्ता सम्मेलन में उपस्थित साथियों को संबोधित किया एवं भाजपा समर्थित प्रत्याशी श्रीमती सरिता मुरारी नायक जी के समर्थन में अधिक से अधिक मतदान की अपील की।,चुनाव प्रचार,2025-11-13,सारंगढ़-बिलाईगढ़,district,Chhattisgarh,सारंगढ़-बिलाईगढ़,,,,,[],"[""सरिता मुरारी नायक""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1890746512356856010,आज सारंगढ़-बिलाईगढ़ जिला पंचायत क्षेत्र क्रमांक 9 के डनसरा में आयोजित कार्यकर्ता सम्मेलन में देवतुल्य कार्यकर्ताओं को प्रेरित किया एवं भाजपा समर्थित प्रत्याशी श्री संजय भूषण पाण्डेय जी के समर्थन में मतदान की अपील की।,चुनाव प्रचार,2025-11-13,सारंगढ़-बिलाईगढ़,district,Chhattisgarh,सारंगढ़-बिलाईगढ़,,,,,[],"[""संजय भूषण पाण्डेय""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1890731294197223588,आज सारंगढ़-बिलाईगढ़ जिला पंचायत क्षेत्र क्रमांक 3 के देवगांव व रिसोरा में आयोजित कार्यकर्ता सम्मेलन में भाजपा समर्थित प्रत्याशी डॉ. अभिलाषा कैलाश नायक जी के समर्थन में अपील की।,राजनीतिक वक्तव्य,2025-11-13,सारंगढ़-बिलाईगढ़,district,Chhattisgarh,सारंगढ़-बिलाईगढ़,,,,,[],"[""अभिलाषा कैलाश नायक""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1890769087506079838,आज नगरीय निकाय चुनाव में भाजपा को मिली शानदार जीत के संदर्भ में चर्चा करने के लिए रात 8 बजे विस्तार न्यूज पर उपस्थित रहूंगा। https://t.co/BypjDlnN1f,चुनाव प्रचार,2025-11-13,नगरी,urban,Chhattisgarh,धमतरी,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1890770192218698177,@Vikasgupta722 @vishnudsai @KiranDeoBJP @NitinNabin @shivprakashbjp @BJP4CGState Thanks,अन्य,2025-11-13,नगरी,urban,Chhattisgarh,धमतरी,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.6)
1890792274662936751,नगरीय निकाय चुनाव में भाजपा को मिली शानदार जीत के बाद माननीय मुख्यमंत्री श्री विष्णु देव साय जी से मुलाकात कर बधाई एवं शुभकामनायें दीं।,बैठक,2025-11-13,नगरी,urban,Chhattisgarh,धमतरी,,,,,[],"[""विष्णु देव साय""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1890801577444647013,नगरीय निकाय चुनाव में भाजपा की शानदार जीत जनता जनार्दन के विश्वास का परिणाम है। मोदी की गारंटी के तहत हमारी सरकार के एक साल के कार्यों ने इस भरोसे को और मजबूत किया है। यह जीत विकास एवं सुशासन की जीत है।,चुनाव प्रचार,2025-11-13,नगरी,urban,Chhattisgarh,धमतरी,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1890810183602819115,"रायगढ़ के नवनिर्वाचित महापौर भाई जीवर्धन चौहान जी सरलता, सहजता व विनम्रता की मिसाल हैं। 29 साल से राजनीति में सक्रिय रहने के बावजूद चाय बेचकर ईमानदारी से जीवन यापन कर रहे हैं। उनकी जीत में अंतिम पंक्ति के व्यक्ति का सम्मान है।",सम्मान / Felicitation,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1890822127000907851,हम वित्तीय अनुशासन के साथ माता-बहनों को आत्मनिर्भर व किसानों को समृद्ध बना रहे हैं। तेजी से विकास हो रहे हैं। कांग्रेस भ्रष्टाचारियों की जेबें भरने का काम करती थी। जिससे खजाने को नुकसान होता था। अब खजाने में पैसे आ रहे हैं।,राजनीतिक वक्तव्य,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.85)
1890823749525496076,"कांग्रेस डूबती नाव है और भाजपा के सुशासन के कारण हमें जनता का आशीर्वाद लगातार मिल रहा है। जनता ने कांग्रेस के भ्रष्टाचार, परिवारवाद को नकार दिया और यह तुष्टिकरण व सत्ता के दुरुपयोग की राजनीति का करारा जवाब है।",राजनीतिक वक्तव्य,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.85)
1890834922476023991,"आदरणीय राष्ट्रीय अध्यक्ष श्री जगत प्रकाश नड्डा जी, शुभकामनाओं के लिए आभार।",शुभकामना / बधाई,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],"[""जगत प्रकाश नड्डा""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.85)
1891074904772030598,हरित भविष्य की दिशा में अग्रसर भारत!,अन्य,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.6)
1890939965707620570,"भक्ति, आध्यात्म, आस्था, संस्कृति, संस्कार, समर्पण व एकता का अनुपम संगम महाकुंभ...",अन्य,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.6)
1890966091284803641,"आदरणीय प्रधानमंत्री श्री नरेंद्र मोदी जी का संकल्प है कि 2047 तक भारत विकसित राष्ट्र बनेगा। इसी लक्ष्य के तहत छत्तीसगढ़ के लिए रोडमैप और विजन डॉक्यूमेंट तैयार किया गया है, जिससे राज्य को प्रगतिशील बनाया जाएगा। भारत की अर्थव्यवस्था आज 3.7 ट्रिलियन डॉलर है और 23 साल बाद इसका आकार https://t.co/V9KrvkqErL",अन्य,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],"[""नरेंद्र मोदी""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.6)
1890980481052610710,https://t.co/BIqqTkWSPv,अन्य,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.6)
1891026946869395647,"आदरणीय प्रदेश प्रभारी श्री नितिन नबीन जी, आपकी शुभकामनाओं के लिए आभार। https://t.co/ilOqbIVbQH",शुभकामना / बधाई,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],"[""नितिन नबीन""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.85)
1890835421728497891,"आदरणीय श्री अमित शाह जी, आपकी शुभकामनाओं के लिए हृदय से आभार।",शुभकामना / बधाई,2025-11-13,रायगढ़,urban,Chhattisgarh,रायगढ़,,,,,[],"[""अमित शाह""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.85)
